author,rank,title,abstract_url,paper_url,institution
Julien Mairal,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Paulin_Local_Convolutional_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Paulin_Local_Convolutional_Features_ICCV_2015_paper.pdf,
Florent Perronin,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Paulin_Local_Convolutional_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Paulin_Local_Convolutional_Features_ICCV_2015_paper.pdf,
Cordelia Schmid,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Paulin_Local_Convolutional_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Paulin_Local_Convolutional_Features_ICCV_2015_paper.pdf,
Lingxi Xie,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.pdf,
Jingdong Wang,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.pdf,
Weiyao Lin,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.pdf,
Bo Zhang,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.pdf,
Qi Tian,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Xie_RIDE_Reversal_Invariant_ICCV_2015_paper.pdf,
Kamil Adamczewski,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Adamczewski_Discrete_Tabu_Search_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Adamczewski_Discrete_Tabu_Search_ICCV_2015_paper.pdf,
Yumin Suh,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Adamczewski_Discrete_Tabu_Search_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Adamczewski_Discrete_Tabu_Search_ICCV_2015_paper.pdf,
Kyoung Mu Lee,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Adamczewski_Discrete_Tabu_Search_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Adamczewski_Discrete_Tabu_Search_ICCV_2015_paper.pdf,
Edgar Simo-Serra,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.pdf,
Eduard Trulls,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.pdf,
Luis Ferraz,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.pdf,
Iasonas Kokkinos,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.pdf,
Pascal Fua,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.pdf,
Francesc Moreno-Noguer,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Simo-Serra_Discriminative_Learning_of_ICCV_2015_paper.pdf,
Abhishek Kar,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Kar_Amodal_Completion_and_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Kar_Amodal_Completion_and_ICCV_2015_paper.pdf,
Shubham Tulsiani,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Kar_Amodal_Completion_and_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Kar_Amodal_Completion_and_ICCV_2015_paper.pdf,
Joao Carreira,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Kar_Amodal_Completion_and_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Kar_Amodal_Completion_and_ICCV_2015_paper.pdf,
Jitendra Malik,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Kar_Amodal_Completion_and_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Kar_Amodal_Completion_and_ICCV_2015_paper.pdf,
Marco Pedersoli,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Pedersoli_Learning_Where_to_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Pedersoli_Learning_Where_to_ICCV_2015_paper.pdf,
Tinne Tuytelaars,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Pedersoli_Learning_Where_to_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Pedersoli_Learning_Where_to_ICCV_2015_paper.pdf,
Yanhua Cheng,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.pdf,
Rui Cai,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.pdf,
Chi Zhang,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.pdf,
Zhiwei Li,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.pdf,
Xin Zhao,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.pdf,
Kaiqi Huang,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.pdf,
Yong Rui,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Cheng_Query_Adaptive_Similarity_ICCV_2015_paper.pdf,
Chao Sui,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Sui_Listening_With_Your_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Sui_Listening_With_Your_ICCV_2015_paper.pdf,
Mohammed Bennamoun,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Sui_Listening_With_Your_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Sui_Listening_With_Your_ICCV_2015_paper.pdf,
Roberto Togneri,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Sui_Listening_With_Your_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Sui_Listening_With_Your_ICCV_2015_paper.pdf,
Flora Ponjou Tasse,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Tasse_Cluster-Based_Point_Set_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Tasse_Cluster-Based_Point_Set_ICCV_2015_paper.pdf,
Jiri Kosinka,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Tasse_Cluster-Based_Point_Set_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Tasse_Cluster-Based_Point_Set_ICCV_2015_paper.pdf,
Neil Dodgson,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Tasse_Cluster-Based_Point_Set_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Tasse_Cluster-Based_Point_Set_ICCV_2015_paper.pdf,
